name,price,discountRate,imageUrl,categoryName,link,clickCount
"VASAGLE ALINRU Coat Rack with 3 Shelves, Coat Stand with Hooks for Scarves, Bags and Umbrellas, Steel Frame, Industrial Style, Rustic Brown and Black ULCR80X",67.5,30,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61M9Tntp0YL._AC_SX425_.jpg,furniture_living,https://www.amazon.com/VASAGLE-Industrial-Shelves-Clothes-ULCR80X/dp/B07HM15VQV?ref_=Oct_DLandingS_D_af129285_70,0
"VASAGLE Bathroom Storage Cabinet Free Standing, with Drawer and Adjustable Shelf, Kitchen Cupboard, Wooden Entryway Storage Cabinet, 23.6 x 11.8 x 31.5 Inches, White UBBC61WT",66.9,37,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/517ZWEelRxL._AC_SX425_.jpg,furniture_living,https://www.amazon.com/SONGMICS-Standing-Bathroom-Adjustable-Cupboard/dp/B07BDKSG5K?ref_=Oct_DLandingS_D_af129285_79,0
Flash Furniture Flash Fundamentals Big & Tall 400 lb. Rated Black LeatherSoft Swivel Office Chair with Padded Arms,110.15,66,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51UJBqzekZL._AC_SY679_.jpg,furniture_living,https://www.amazon.com/Flash-Fundamentals-LeatherSoft-Swivel-Office/dp/B084S9VZ5G?ref_=Oct_DLandingS_D_af129285_86,0
"FURINNO Simplistic Study Table, Pink",29.11,55,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41JwNoCdR5L._AC_SX569_.jpg,furniture_living,https://www.amazon.com/Furinno-14035PI-Simplistic-Study-Table/dp/B07HGCMZYM?ref_=Oct_DLandingS_D_af129285_88,0
"ODK 63 inch Super Large Computer Writing Desk Gaming Sturdy Home Office Desk, Work Desk with A Storage Bag and Headphone Hook, Espresso Gray",111.99,38,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71ICF8CEOVL._AC_SX569_.jpg,furniture_living,https://www.amazon.com/ODK-Computer-Writing-Headphone-Espresso/dp/B08ZSTVXPP?ref=dlx_deals_gd_dcl_img_6_0eea7bf4_dt_sl15_00&th=1,0
"Crystli King Mattress, 10 Inch King Size Mattress with Innerspring Hybrid Memory Foam King Mattress in a Box Pressure Relief & Supportive 100-Night Trial 10-Year Support",335.99,35,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/815UzyB+JBL._AC_SX569_.jpg,furniture_living,https://www.amazon.com/Crystli-Mattress-Innerspring-Supportive-100-Night/dp/B0B452182Q?ref=dlx_deals_gd_dcl_img_15_838d5b70_dt_sl15_00,0
"Universal Floor TV Stand Base with Swivel Height Adjustable Mount for 32 37 43 47 50 55 60 65 70 Inch Plasma LCD LED OLED Flat or Curved Screen TVs, Black Tempered Glass Base for Media Storage",68.72,21,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61+GMYqS+rL._AC_SX425_.jpg,furniture_living,https://www.amazon.com/TAVR-Universal-Adjustable-Tempered-Storage/dp/B07MKK75K8?ref=dlx_deals_gd_dcl_img_30_8da45949_dt_sl15_00,0
"HomePop Parsons Classic Upholstered Accent Dining Chair, Set of 2, Pewter Grey and Lattice Cream",153.8,17,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81eHVDLSDiL._AC_SX569_.jpg,furniture_living,https://www.amazon.com/HomePop-Parsons-Classic-Upholstered-Lattice/dp/B071QXXTV6?ref_=Oct_DLandingS_D_f536b69d_61,0
"CangLong Dining Mid Century Modern DSW Hollow Back Design Plastic Shell Armless Side Chair with Beech Wood Legs, Set of 2, Beige 1",103.7,15,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/615-vd+Ho4L._AC_SX425_.jpg,furniture_living,https://www.amazon.com/CangLong-Century-Plastic-Armless-Bedroom/dp/B08TCV7KN4?ref_=Oct_DLandingS_D_f536b69d_64,0
"KERDOM Ergonomic Office Chair, Breathable Mesh Computer Chair, Swivel Desk Chair with Wheels and Flip-up Arms, Adjustable Height Home Gaming Chair",103.99,39,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71QLwLXJXzL._AC_SX569_.jpg,furniture_living,https://www.amazon.com/KERDOM-Ergonomic-Breathable-Computer-Adjustable/dp/B0BD4LW28J?ref=dlx_deals_gd_dcl_img_58_f5f32de4_dt_sl15_00&th=1,0
